Study,Keywords,Aims,Country,Place,Target,RPAS platform,Payload,Costs,
WILDLIFE MONITORING AND MANAGEMENT,,,,,,,,,
[@mulero-pazmany_unmanned_2015],,Telemetry/RPAS SDM comparative study,Spain ,Doñana N.P.,* Bos taurus*,"Fixed-wing: Easy Fly plane, Ikarus autopilot, Eagletree GPS logger", Panasonic Lumix LX-3 11MP,$ 6500,
[@hodgson_unmanned_2017],,Comparative survey RPAS/land based observation; abundance estimation,Australia,North Stradbroke Island, humback whales,Fixed-wing: ScanEagle ,"Nikon D90 12MP, Standard Definition Electro-Optical Camera",?,
[@hodgson_unmanned_2013],,Dugongs detection,Australia,Shark Bay Marine Park,Dugong,Fixed-wing: ScanEagle,Nikon D90 12MP,?,
[@wilson_feasibility_2017],,Bioacustic monitoring,USA,State Game Lands,Birds,Rotor-wing: DJI Phantom 2, ZOOM H1 Handy Recorder,?,
[@bayram_active_2016],,VHF collars tracking,?,?,Bears (Ursus),Rotor-wing: DJI F550," Telonics MOD-500 VHF, Uniden handheld scanner ",?,
[@christie_unmanned_2016],,Abundance estimation,USA,Aleutian Islands,Steller Sea Lion (Eumetopias jubatus),Rotor-wing: APH-22,?,$ 25.000,
[@christie_unmanned_2016}],,Abundace estimation,USA,Monte Vista National Wildlife Refuge,Grus canadensis (sandhill cranes),Fixed-wing: Raven RQ- 11A  ,?,$ 400,
[@wich_preliminary_2016],,Sumatran orangutan nest detection ,?,?,?,Fixed-wing: Skywalker 2013 ,Canon S100,?,
[@van_andel_locating_2015],, Chimpanzee nest detection,Africa,Loango National Park,Chimpanzee (Pan troglodytes),Fixed-wing: Maja,Canon Powershot SX230 HS,$ 5000 ,
[@koski_evaluation_2009],, Marine mammals monitoring,USA,Admiralty Bay,Marine mammals,Fixed-wing: ScanEagle , NTSC Video Camera,?,
[@andrew_semi-automated_2017],,Semi-automated image processing tools to detect and map sea eagle nests,Australia,Houtman Abrolhos Islands,White-bellied sea eagle (Haliaeetus leucogaster),?,?,?,
[@longmore_adapting_2017],,Software development to help detect animals in thermal images ,UK,Arrowe Brook Farm Wirral,Wildlife,Rotor-wing: 3DR robotics Y6," FLIR, Tau 2 LWIR Thermal Imaging Camera Core ",?,
[@martin_estimating_2012],,Estimate the distribution of organisms using statistical models,USA,?,Manatee (*Trichechus manatus latirostris*),Fixed-wing: Nova 2.1 ,Olympus H E-420,?,
[@chabot_evaluation_2012],,Waterbirds surveys,Canada,"Ste-Anne-de-Bellevue, Baie-du-Feb- vre","Canada Geese (Branta canadensis), Snow Geese (Chen caerule- scens)",Fixed-wing; CropCam,Pentax Optio A20 10 megapixels,$ 11000,
@koski_evaluation_2015],, Reidentification of photographed whales,Canada,Igloolik Island,Bowhead whales (*Balaena mysticetus*),Fixed-wing: TD100E ,"GoPro, Nikon D800 50 mm f1.2 Nikon lens ",-,
[@durban_photogrammetry_2015],, Photogrammetry studies ,Canada,Vancouver Island,Killer whales (Orcinus orca),Rotor-wing: APH-22 ,Olympus E-PM2 Olympus M.Zuiko 25 mm F1.8 lens,-,
[@lhoest_how_2015],, Develop algorithm for automatic count of hippos ,Congo,Congo | Garamba National Park,Common hippopotamus (Hippopotamus amphibius L.),Fixed-wing: Falcon,Tamarisk 640,-,
[@lhoest_how_2015] ,"UAS, VTOL, Photogrammetry, Leopard seal,  Antarctic fur seal, Penguin",Estimating abundance and size of Antarctic predators ,Antarctica,"Cape Shirreff, Livingston Island, South Shetland Islands","Antarctic fur seal (Arctocephalus gazella), Penguin (Spheniscidae), Leopard seal (Hydrurga leptonyx)","Rotor-wing: md4-1000, APQ-18, APH-22","Sony NEX-5, Canon EOS-M,Olympus E-P1",-,
[@dulava_environmental_2015],,Waterbirds surveys,USA,"Ruby Lake NWR, Tomales Bay ","mallard (Anas platyrhynchos), northern shoveler (Anas clypeata), gadwall (Anas strepera), blue-winged teal (Anas discors), northern pintail (Anas acuta), American wigeon (Anas americana), canvasback (Aythya valisineria), scaup (Aythya marila/ Aythya affinis), surf scoter (Melanitta perspicillata), American coot (Fulica americana),","Rotor-wing: Honeywell RQ-16 T-Hawk , Fixed-wing: AeroVironment RQ-11A","Canon PowerShot SX230, SX260 12.1MP, GoPro Hero3",-,
[@christiansen_automated_2014],,,,,,,,,
[@_testing_2016],"small unmanned aircraft, salmon spawning surveys, population estimates",Salmon spawning surveys ,USA, Lower Snake River,Chinook salmon (Oncorhynchus tshawytscha),Rotor-wing: Aeryon Scout, GoPro Hero3,-,"Use of unmanned aircraft capable of long-range operation beyond line of sight to conduct complete census counts would solve the statistical problem associated with the survey sampling methods described here, but natural resource professionals do not have access to such technology. Furthermore, such operation is heavily restricted in most developed countries (Chabot"
[@olivares-mendez_noah_2014],,,,,,,,,
[@barasona_unmanned_2014],,Epidemiological study,Spain,Doñana National Park,"Red deer (Cervus elaphus), Fallow deer (Dama dama), Cattle (Bos taurus)",Fixed-wing: Easy Fly plane,Panasonic Lumix LX-3 11MP,-,
[@jain_unmanned_2013],, Elephant surveys,Burkina Faso,Nazinga Game Ranch ,Elephant (Loxodonta africana),Fixed-wing: Gatewing x100,Ricoh GR III,-,
