"";"x"
"1";"Optical imaging, Fires, Cameras, Visualization, Image processing, Monitoring, Fuels "
"2";"Unmanned aerial vehicles, Forest fires, Optical flow, Optical remote sensing, Fire detection, Image processing"
"3";"Malaria, Drones, Earth observation, Malaria vector habitats, Larval source managemen"
"4";"feature selection, flood detection, image processing, image segmentation, path planning, texture analysis, unmanned aerial vehicle"
"5";" image classification, invasive species, OBIA, remote sensing, UAV, wetland monitoring"
"6";"Unmanned aerial vehicle Structure frommotion Airborne laser scanning Hybrid inference Forest inventory"
"7";"value of information, unmanned aerial vehicle, UAV, animal monitoring, path planning, MDP"
"8";"unmanned aerial systems, sensor networks"
"9";"unmanned aerial vehicles, drones, landslide risk assessment"
"10";"Great Lakes,wetlands, biological invasions, ecological restoration, early detection and rapid response, UAV remote sensing, restoration monitoring"
"11";"Monitoring, Oil and gas pipeline, Regulations, Safety, Unmanned aerial vehicle"
"12";"Drones, elephants, human–elephant conflict, Tanzania, UAVs, unmanned aerial vehicles"
"13";"UAV, Drone, remote sensing, great apes"
"14";"aerial survey, colony, drone, penguin, seabird, UAV"
"15";"conservation, thermal imaging, automated pipeline"
"16";"aerial land cover survey, aerial vertebrate survey, image processing, unmanned aerial vehicle, videography"
"17";"search and rescue, drone, unmanned aviation systems, SAR, UAS, UAV"
"18";"populations, central Texas, unmanned aircraft system, UAS, rare species, overstory, understory"
"19";"Biased random bridges, deforestation, GPS tracking, monitoring, social media, UAV"
"20";"UAV, remote sensing, Hierarchical clustering, Spatial classification"
"21";"caribou, unmanned aircraft systems, UAV, UAS, drone, target detection, survey"
"22";"Humanitarian logistics, Unmanned aerial system, Unmanned aerial vehicle, Drone, Remotely piloted aircraft systems"
"23";"Nature Conservation, micro UAVs, Object Detection"
"24";"unmanned aerial vehicles, photogrammetry, point clouds, vegetation structure, vegetation height, vegetation cover, ecological recovery, reclamation"
"25";"UAV, Grassland, Species composition, Object-based classificatio"
"26";"Structure from Motion (SfM), Unmanned Aerial Vehicle (UAV), aerial photography, LiDAR, REDD, low-cost"
"27";"unmanned aerial vehicles; computer vision; animal tracking; face detection; vision-based control; object following; autonomous navigation; autonomous landing; anti-poaching"
"28";"UAS, Sicily, Protected areas, Environmental monitoring, Management, Drone"
"29";"Abundance modeling, Animal monitoring, Biologging, Cattle, Drones, GPS-GSM collars, Remote Piloted Aircraft Systems, Spatial distribution, Unmanned Aircraft Systems"
"30";"drones, legal framework, regulation, regional co-operation, UAV"
"31";"ethics, drones, investigator impact, monitoring, technology, unmanned aerial vehicle"
"32";"Pixel- and object-based classification
Invasive alien plants, UAV, Harrisia pomanensis, Point- and area-based accuracy assessment"
"33";"UAV lidar, grasslands, canopy height, fractional cover, aboveground biomass"
"34";"UAVs, UASs, drones, environmental monitoring, coastal habitats, mapping, aerial photography, photogrammetry, image classification, remote sensing, Posidonia oceanica, Diplodus sargus, juvenile sparid fish, Mediterranean Sea, Giglio Island"
"35";"UAV, WorldView-2 Mangrove Leaf area index NDVI, Background and vegetation species"
"36";"UAV, airborne remote sensing, multi-spectral image, digital photogrammetry, calibration, crop management, multi-spectral remote sensing, imaging platforms, image interpretation
"
"37";"Drone, Unmanned aircraft systems, Search and rescue, Mountain rescue"
"38";"UAV, DEM, LAI, chlorophyll content, vegetation index, grassland"
"39";"Miconia calvescens, Hawai’i, Oblique, Canopy openness, UAS, Plant detection"
"40";"Privacy, Data protection, Industry Regulation"
"41";"Index of abundance, monitoring noise,  short-term change, survey-aerial video, unmmaned aerial systems"
"42";"unmanned aerial systems, marine mammals, protected species, anthropogenic impacts, disturbance"
"43";"unmanned aerial vehicles (UAV), forest inventory, biomass growth, canopy height model (CHM), object based image analysis (OBIA), Structure from Motion (SfM)"
"44";"Eurasian beaver (Castor fiber), ecosystem structure, wetlands, unmanned aerial vehicle, structure-from-motion, environmental monitoring and management"
"45";"Unmanned Aerial Vehicles, Water Sampling, Microcontrollers, Instrumentation, Concept Design "
"46";"structure from motion (SfM), 3D point cloud, remote sensing, local maxima, fixed tree window size"
"47";"bird, drones, ecology, population monitoring, RPAS, UAV, UAS, wildlife"
"48";"drone, UAV, BLOS, beyond-line-of-sight, economic benefit, pasture management, forestry, infrastructure inspection"
"49";"Unmanned aerial vehicles, tree height detection, photogrammetry, image processing, local maximum filter, consumer-grade cameras"
"50";" unmanned aerial vehicle images, individual windthrown trees, random classification, Hough transform"
"51";"UAS, Africa, informal mining, monitoring, conflict minerals"
"52";" 3D surveying, structure from motion, UAV, laser ,scanning, photogrammetry, hazards, architecture"
"53";"Unmanned aircraft systems,  Privacy, Surveillance, Law and policy"
"54";" Biomass, UAV, assessment, common reed"
"55";"alien species, giant hogweed, knotweed, plant phenology, remote sensing detection, UAV"
"56";"Acacia mangium, drone, invasive alien species, Mussununga, RPAS, remote sensing, UAV, QGIS"
"57";"Elasmobranchs, Distribution, Abundance, Aerial surveys, Unmanned aerial drones "
"58";"Locomotion, Drones, Tracking,Wildlife"
"59";"Aerial picture,  Drone, Evidence based nature conservation, Habitat suitability model, Host plant,  Imaginal stage,  Larval ecology, Micro-habitat structures, Pre-imaginal stage"
"60";"UAV, Aerial survey, Drone, Disturbance, Flight initiation distance"
"61";"chimpanzee, nest, survey, tree, UAV, presence"
"62";"aerial survey, drone, remotely piloted aerial systems, RPAS, unmanned aerial vehicle, UAV"
"63";" high spatial resolution, pan-sharpening, texture, OBIA, invasive plant"
"64";"abundance, aerial survey, availability, behavior, cetaceans, digital photography, drones, images, unmanned aircraft systems, unmanned aerial systems."
"65";"digital surface model (DSM), drone, growth form, non-submerged aquatic vegetation, object-based image analysis (OBIA), Random Forest, remotely piloted aircraft system (RPAS), species identification, sub-decimetre spatial resolution, unmanned aerial vehicle (UAV), unmanned aircraft system (UAS)"
"66";"forest monitoring, seasonal, tree height growth, forestry, UAV, UAS, COTS, SfM, DSM"
"67";"unmanned aerial vehicle, riparian, restoration, structure from motion"
"68";"Drone mapping, Coral reefs, Bathymetry from drones, Structure from motion underwater, Bathymetry from photogrammetry"
"69";"Intertidal monitoring, Seagrass, Rocky, Unmanned Aerial Vehicle"
"70";"Ixobrychus exilis . Species at risk . Habitat use . Artificialwetlands .Remote sensing . Aerial survey"
"71";"UAV, fixed-wing, multi-rotor, photogrammetry, environmental mapping, orthoimage, DSM"
"72";"detection, drone, remotely piloted aerial vehicles, survey, wildlife"
"73";"aerial survey, remote sensing, drone, wildlife monitoring, habitat monitoring, Pacific flyway"
"74";"aerial survey, bird survey, Branta canadensis, Chen caerulescens, remote sensing, UAS, unmanned aircraft."
"75";"drone, hearing threshold, sound, UAV, unmanned aerial vehicle"
"76";"bowhead whales, disturbance, photo-identification, unmanned aerial system, line-of- sight"
"77";"nest defense behaviour, unmanned aerial vehicles (UAV), raptor, nest productivity, drone"
"78";"Hippos, UAV, Infra-red, Thermal-imagery, Automatic count, Algorithm, QGIS"
"79";"Black-faced spoonbill, Unmanned aerial vehicle, Census, Mission planning, Image processing, Taijiang National Park"
"80";"Aerial survey, Bird colony, Investigator disturbance, Remote sensing, Waterbirds"
"81";"unmanned aerial systems, marine mammal, abundance surveys, photogrammetry, photo-identification, cetacean behavior
"
"82";"Structure from motion (SFM), 3D modelling, Tree delineation, Crown diameter, DEM, Airborne data, Drone, UAS"
"83";"Inaccessible Island, Tristan Albatross, Tristan da Cunha, unmanned aerial vehicle"
"84";"aerial survey, drone, image processing, object-based image analysis, Odocoileus virginianus, remote sensing, thermal infrared and visible imagery, unmanned aerial vehicle (UAV), wildlife survey"
"85";"bioacoustics, drone, methodology, songbird, UAV"
"86";"power lines, bird electrocution, environmental impact of infrastructures, fixed-wing sUAS, remotely piloted aircraft, drones"
"87";"Wildlife Census, Multispecies Detection, Unmanned Aerial Vehicle, Multicriteria Object-Based Image Analysis, Visible and Thermal Infrared Imagery"
