Study,Aims,Country,Place,Target,RPAS platform,Payload,Costs
WILDLIFE MONITORING AND MANAGEMENT,,,,,,,
[@mulero-pazmany_unmanned_2015],Telemetry/RPAS SDM comparative study,Spain ,Doñana N.P.,* Bos taurus*,"Fixed-wing: Easy Fly plane, Ikarus autopilot, Eagletree GPS logger", Panasonic Lumix LX-3 11MP,$ 6500
[@hodgson_unmanned_2017],Comparative survey RPAS/land based observation; abundance estimation,Australia,North Stradbroke Island, humback whales,Fixed-wing: ScanEagle ,"Nikon D90 12MP, Standard Definition Electro-Optical Camera",?
[@hodgson_unmanned_2013],Dugongs detection,Australia,Shark Bay Marine Park,Dugong,Fixed-wing: ScanEagle,Nikon D90 12MP,?
[@wilson_feasibility_2017],Bioacustic monitoring,USA,State Game Lands,Birds,Rotor-wing: DJI Phantom 2, ZOOM H1 Handy Recorder,?
[@bayram_active_2016],VHF collars tracking,?,?,Bears (Ursus),Rotor-wing: DJI F550," Telonics MOD-500 VHF, Uniden handheld scanner ",?
[@christie_unmanned_2016],Abundance estimation,USA,Aleutian Islands,Steller Sea Lion (Eumetopias jubatus),Rotor-wing: APH-22,?,$ 25.000
[@christie_unmanned_2016}],Abundace estimation,USA,Monte Vista National Wildlife Refuge,Grus canadensis (sandhill cranes),Fixed-wing: Raven RQ- 11A  ,?,$ 400
[@wich_preliminary_2016],Sumatran orangutan nest detection ,?,?,?,Fixed-wing: Skywalker 2013 ,Canon S100,?
[@van_andel_locating_2015], Chimpanzee nest detection,Africa,Loango National Park,Chimpanzee (Pan troglodytes),Fixed-wing: Maja,Canon Powershot SX230 HS,$ 5000 
[@koski_evaluation_2009], Marine mammals monitoring,USA,Admiralty Bay,Marine mammals,Fixed-wing: ScanEagle , NTSC Video Camera,?
[@andrew_semi-automated_2017],Semi-automated image processing tools to detect and map sea eagle nests,Australia,Houtman Abrolhos Islands,White-bellied sea eagle (Haliaeetus leucogaster),?,?,?
[@longmore_adapting_2017],Software development to help detect animals in thermal images ,UK,Arrowe Brook Farm Wirral,Wildlife,Rotor-wing: 3DR robotics Y6," FLIR, Tau 2 LWIR Thermal Imaging Camera Core ",?
[@martin_estimating_2012],Estimate the distribution of organisms using statistical models,USA,?,Manatee (*Trichechus manatus latirostris*),Fixed-wing: Nova 2.1 ,Olympus H E-420,?
MONITORING OF TERRESTRIAL AND AQUATIC ECOSYSTEMS,,,,,,,
[@perroy_assessing_2017], Tropical invasive plants,USA,"Pahoa, Hawai", *Miconia calvescens*,Rotor-wing: DJ Inspire-1,DJI FC350 camera,?
[@szantoi_mapping_2017], Habitat Mapping ,Indonesia, Gunung Leuser National Park, Orangutan (Pongo abelii),Fixed-wing: Skywalker,Canon S100,$ 4000
[@casella_mapping_2017],Coral reef mapping,French Polynesia,"Tiahura,; Moorea ",Coral reef , Rotor-wing: DJI Phantom 2 , Modified GoPro HERO4 ,$ 1678
[@casella_drones_2016],Monitoring coastal erosion dynamics in shorelines, French Polynesia,Tiahura; Moorea,Coral reef , Rotor-wing: Mikrokopter Okto XL,Canon G11,$ 7500
[@mullerova_does_2016],Monitoring plant invasion,?,?,Exotic species,Fixed-wing: VUT 712 713  720 ,Canon S100 ,?
[@ventura_low-cost_2016],Marine fish nursery areas mapping ,Italy,Giglio Island ,Marine fish nursery areas ,Rotor-wing: homemade prototype,"Mobius HD, GoPro HERO3 Black Edition ",$ 100
[@ivosevic_use_2015],Habitat monitoring and modeling in restricted areas; RPAS performance test & South Korea & Chiaksan National Park;Taeanhaean National Park,South Korea,Chiaksan National Park;Taeanhaean National Park ,, Rotor-wing: DJI Phantom 2 Vision+,Full HD videos 1080p/30fps and 720p/60fps,?
[@lisein_discrimination_2015],Discrimination of deciduous species; Forest inventory,Belgium,Grand-Leez,"English oak, birches, sycamore maple ,common ash and poplars ", Fixed-wings: Gatewing X100 ,Ricoh GR2 GR3 GR4 10 megapixels CCD ,?
[@puttock_aerial_2015],Characterization of ecosystems affected by beaver activity ,UK,Devon Beaver Project site ,Eurasian beaver (*Castor fiber*),Rotor-wing: 3D Robotics Y6 ,anon ELPH 520 HS,?
[@zahawi_using_2015],Characterization of tropical forest structure for restoration actions,Costa Rica,Devon Beaver Project site,Several species,Rotor-wing: 3D Robotics Y6,Canon S100 ,$ 1500 
[@bustamante_forest_2015],Forest monitoring,Brasil,"Riverine Forests (Permanent Protected Areas), Rio de Janeiro, Barrãcao do Mendes, Santa Cruz and São Lorenço",Riverbank forests,Rotor-wing: DJI Phantom Vision 2S,RGB digital camera 14MP ,$ 9700 
[@gini_aerial_2012],3D modeling and classification of tree species,Italy,Parco Adda Nord,Several species,Rotor-wing: Microdrones TM MD4-200, RGB CCD 12 megapixels Pentax Optio A40; modified NIR Sigma DP1 with a Foveon X3 sensor,?
[@miyamoto_use_2004],Classification of species in wetlands,Japan,Kushiro Wetlands,Several species,Helium balloon,"NIKON F-801, NIKKOR 28 mm f/2.8 ",$ 1600
[@casella_mapping_2017], Mapping coral reefs,?,?,?,Rotor.wing: DJI Phantom 2,GoPro HERO4 ,?
" INFRASTRUCTURES AND RISK ASSESSMENT, ECOTOURISM, IMPACT ON WILDLIFE AND ECOSYSTEMS",,,,,,,
